Question_ID,Ideal_Answer,Must_Include,Must_Not_Include,Human_Support_Needed
Q001,Procrastination is the habit of delaying important tasks even when they should be completed. It can affect productivity and academic performance.,Definition of procrastination,Diagnosis or treatment,No
Q002,"Common causes of procrastination include fear of failure, distractions, poor planning, and low motivation.",Causes of procrastination,Judgmental language,No
Q003,Fear of failure may cause students to avoid starting tasks because they worry about making mistakes or performing poorly.,Fear of failure explanation,Mental health diagnosis,No
Q004,Yes. Perfectionism can contribute to procrastination when students delay work while waiting for perfect conditions or outcomes.,Perfectionism link,Diagnosis,No
Q005,Procrastination can increase stress because unfinished tasks create pressure as deadlines approach.,Stress relationship,Medical advice,No
Q006,"Procrastination can reduce the time available for studying and completing assignments, which may affect academic performance.",Academic impact,Guaranteed failure claims,No
Q007,Motivation helps students begin and complete tasks by providing purpose and direction.,Importance of motivation,Judgment,No
Q008,"Goal setting helps students stay organized, focused, and motivated by creating clear objectives.",Goal setting benefits,Unrealistic promises,No
Q009,"Time management helps students organize tasks, meet deadlines, and reduce unnecessary stress.",Time management importance,Medical advice,No
Q010,Study planning improves productivity by helping students allocate time effectively and prepare in advance.,Study planning,Diagnosis,No
Q011,"A study schedule provides structure, improves consistency, and helps students stay on track academically.",Benefits of study schedule,Judgment,No
Q012,Breaking large assignments into smaller tasks makes them easier to start and complete.,Small task strategy,Unrealistic guarantees,No
Q013,Prioritization helps students focus on important tasks first and use their time more efficiently.,Task prioritization,Diagnosis,No
[Q014,"Daily planning helps students organize responsibilities, monitor progress, and manage time effectively.",Daily planning benefits,Medical advice,No
Q015,"Adequate sleep supports concentration, memory, learning, and overall academic productivity.",Sleep benefits,Medical diagnosis,No
Q016,"Lack of sleep can reduce concentration, energy, and motivation. Improving sleep habits may help students manage academic tasks more effectively.",Sleep affects productivity,Medical diagnosis,No
Q017,"Reducing notifications, setting study periods, and limiting social media use can help improve focus while studying.",Managing distractions,Extreme restrictions,No
Q018,Online distractions can interrupt concentration and make it harder to stay focused on important tasks.,Impact of distractions,Judgment,No
Q019,"Students often avoid difficult tasks because they seem challenging, stressful, or overwhelming. Breaking them into smaller steps can help.",Task avoidance explanation,Diagnosis,No
Q020,"Self-awareness involves recognizing habits, triggers, and behaviors that contribute to procrastination.",Recognizing habits,Judgment,No
Q021,Procrastination may affect grades if important assignments and study activities are delayed repeatedly.,Academic impact,Guaranteed failure,No
Q022,Students often underestimate the time needed for assignments because tasks appear simpler than they actually are.,Time estimation challenges,Criticism,No
Q023,Deadline pressure can increase stress and worry. Planning ahead and starting early may help reduce this pressure.,Managing deadline pressure,Medical advice,No
Q024,"Self-discipline can be improved through routines, goal setting, and consistent study habits.",Building self-discipline,Unrealistic promises,No
Q025,Poor study habits may contribute to procrastination by making tasks feel more difficult or less organized.,Study habits link,Diagnosis,No
Q026,"Calendars, reminders, and task lists can help students remember deadlines and stay organized.",Organization strategies,Judgment,No
Q027,"Motivation can be increased by setting clear goals, rewarding progress, and focusing on long-term benefits.",Motivation strategies,Unrealistic guarantees,No
Q028,"Studying with friends can provide accountability, encouragement, and support for completing tasks.",Peer support,Dependency on others,No
Q029,"Teachers can offer guidance, feedback, and strategies that may help students improve their study habits.",Teacher support,Diagnosis,No
Q030,Feeling guilty after procrastinating is common. Focusing on small achievable steps can help students regain momentum.,Small achievable steps,Self-criticism,No
Q031,Feeling stressed by unfinished assignments is common. Breaking tasks into smaller steps and creating a realistic plan can help make work feel more manageable.,"Small steps, planning",Diagnosis,No
Q032,Anxiety may increase when deadlines approach because there is less time available to complete important tasks. Planning ahead can reduce pressure.,Deadline anxiety explanation,Medical diagnosis,No
Q033,"Academic burnout can reduce motivation, energy, and interest in studying. Taking breaks and using healthy study habits may help manage workload demands.",Burnout explanation,Clinical diagnosis,No
Q034,"Burnout can affect concentration, motivation, and productivity, making academic tasks feel more difficult.",Effects of burnout,Medical treatment advice,No
Q035,Negative thoughts can make procrastination worse by reducing confidence and increasing avoidance of tasks.,Negative thinking impact,Diagnosis,No
Q036,"Confidence can be improved by setting achievable goals, recognizing progress, and focusing on strengths.",Confidence-building strategies,Unrealistic guarantees,No
Q037,"Students can seek support through academic advisors, learning centers, teachers, or student support services.",Sources of support,Diagnosis,No
Q038,"Effective learning strategies include active learning, regular review, note-taking, and organized study schedules.",Learning strategies,Guaranteed results,No
Q039,"Talking with a trusted person about academic stress may provide support, perspective, and practical suggestions.",Importance of communication,Therapy claims,No
Q040,Students may consider professional support when academic difficulties are persistent and significantly affect daily functioning.,When to seek support,Medical diagnosis,No
Q041,"Severe academic stress can affect concentration, productivity, and daily routines. Addressing challenges early may help prevent further difficulties.",Impact of severe stress,Diagnosis,No
Q042,Ignoring academic and emotional challenges may allow stress to increase over time and make problems harder to manage.,Importance of addressing problems,Judgment,No
Q043,"Student wellbeing services may include academic support, counseling resources, workshops, and wellbeing programs.",Available wellbeing resources,Medical treatment,No
Q044,Seeking support early can help students address challenges before they become more difficult to manage.,Early intervention,Judgment,No
Q045,"Healthy coping strategies include planning, time management, regular breaks, physical activity, and seeking support when needed.",Healthy coping strategies,Harmful coping methods,No
Q046,"Emotional exhaustion can occur when academic pressure continues for a long time. Taking breaks, maintaining healthy routines, and seeking support may help manage these feelings.","Emotional exhaustion, support",Diagnosis,No
Q047,Repeatedly missing deadlines can lead to discouragement. Focusing on small achievable goals and recognizing progress may help rebuild confidence.,"Encouragement, small goals",Criticism or blame,No
